MMSI,IMO,VesselName,VesselType,BaseDateTime,LAT,LON,SOG,COG,Heading,Status,FlagCountry
371584000,9199347,MT NEW DIAMOND,80,2020-09-02T22:00:00Z,7.3521,82.0124,14.2,48.5,49,under way using engine,Panama
371584000,9199347,MT NEW DIAMOND,80,2020-09-02T23:00:00Z,7.4812,82.1554,14.0,48.0,48,under way using engine,Panama
371584000,9199347,MT NEW DIAMOND,80,2020-09-03T00:00:00Z,7.6045,82.2987,13.9,48.2,48,under way using engine,Panama
371584000,9199347,MT NEW DIAMOND,80,2020-09-03T01:00:00Z,7.7289,82.4412,13.8,48.0,48,under way using engine,Panama
371584000,9199347,MT NEW DIAMOND,80,2020-09-03T02:00:00Z,7.8541,82.5856,13.7,48.0,48,under way using engine,Panama
371584000,9199347,MT NEW DIAMOND,80,2020-09-03T03:00:00Z,7.9782,82.7291,13.5,47.8,48,under way using engine,Panama
371584000,9199347,MT NEW DIAMOND,80,2020-09-03T03:25:00Z,8.0298,82.7892,12.1,45.0,45,not under command,Panama
371584000,9199347,MT NEW DIAMOND,80,2020-09-03T08:30:00Z,8.0412,82.8124,0.4,120.0,115,not under command,Panama
371584000,9199347,MT NEW DIAMOND,80,2020-09-03T12:00:00Z,8.0551,82.8351,0.5,135.0,130,not under command,Panama
353130000,9467419,MSC LAUREN,70,2020-09-03T01:00:00Z,7.2014,82.1054,18.5,52.0,52,under way using engine,Panama
353130000,9467419,MSC LAUREN,70,2020-09-03T02:00:00Z,7.3854,82.3211,18.4,52.0,52,under way using engine,Panama
353130000,9467419,MSC LAUREN,70,2020-09-03T03:00:00Z,7.5684,82.5364,18.5,51.8,52,under way using engine,Panama
353130000,9467419,MSC LAUREN,70,2020-09-03T04:00:00Z,7.7512,82.7512,18.3,52.0,52,under way using engine,Panama
353130000,9467419,MSC LAUREN,70,2020-09-03T05:00:00Z,7.9341,82.9681,18.4,52.0,52,under way using engine,Panama
538008821,9541234,PACIFIC DOLPHIN,80,2020-09-03T00:00:00Z,8.1254,82.1054,12.5,65.0,65,under way using engine,Marshall Islands
538008821,9541234,PACIFIC DOLPHIN,80,2020-09-03T01:30:00Z,8.2412,82.3854,12.4,65.2,65,under way using engine,Marshall Islands
538008821,9541234,PACIFIC DOLPHIN,80,2020-09-03T03:00:00Z,8.3584,82.6654,12.5,65.0,65,under way using engine,Marshall Islands
538008821,9541234,PACIFIC DOLPHIN,80,2020-09-03T04:30:00Z,8.4751,82.9451,12.6,64.8,65,under way using engine,Marshall Islands
419001122,9315544,JAG LALIT,80,2020-09-02T23:00:00Z,8.4512,83.1524,13.0,228.0,228,under way using engine,India
419001122,9315544,JAG LALIT,80,2020-09-03T01:00:00Z,8.2254,82.8954,13.1,228.0,228,under way using engine,India
419001122,9315544,JAG LALIT,80,2020-09-03T03:00:00Z,8.0012,82.6384,13.0,227.8,228,under way using engine,India
419001122,9315544,JAG LALIT,80,2020-09-03T05:00:00Z,7.7784,82.3812,12.9,228.0,228,under way using engine,India
440129000,9685512,GLOVIS SYMPHONY,70,2020-09-03T11:00:00Z,7.3521,82.0124,16.5,48.5,49,under way using engine,Republic of Korea
440129000,9685512,GLOVIS SYMPHONY,70,2020-09-03T13:00:00Z,7.6045,82.2987,16.4,48.2,48,under way using engine,Republic of Korea
440129000,9685512,GLOVIS SYMPHONY,70,2020-09-03T15:00:00Z,7.8541,82.5856,16.5,48.0,48,under way using engine,Republic of Korea
371584000,9199347,MT NEW DIAMOND,80,2020-09-03T02:00:00Z,7.8541,82.5856,13.7,48.0,48,under way using engine,Panama
999999999,0,TEST BUOY,99,2020-09-03T03:00:00Z,7.5000,82.5000,0.0,0.0,0,stationery,Unknown
371584000,9199347,MT NEW DIAMOND,80,2020-09-03T04:00:00Z,95.0000,82.0000,12.0,45.0,45,under way using engine,Panama
INVALID_MMSI,9199347,CORRUPT SHIP,80,2020-09-03T04:30:00Z,7.8000,82.5000,10.0,45.0,45,under way using engine,Panama
